Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_5x4.5,2,47u,
"C10, C11, C12, C13, C14, C15, C16, C18, C19, C20, C21, C22, C23, C24, C25, C26, C28, C3, C4, C6, C7, C8, C9",0603,23,100n,
"C17, C5",CP_Elec_4x5.4,2,10u,
"C27, C38",0603,2,1n,
"C29, C36, C37, C39",0603,4,560p,
"C30, C33, C34",0603,3,220p,
"C31, C32, C35",0603,3,18p,
"D1, D2, D6",SOD-123,3,1N5819,1N5819
"D10, D11, D18, D19, D22, D23, D24, D25, D26, D7, D8",D_SOD-123F,11,1N4148W-7,
"D12, D13, D14",D_MiniMELF_Handsoldering,3,D_Zener 5V6,
"D15, D16, D17, D28, D5",LED_D3.0mm,5,LED,
"D20, D21, D3, D9",D_SMA,4,D_Schottky,
"D27, D4",D_SMA_Handsoldering,2,1n4004,
"FB1, FB2",0603,2,FerriteBead,
IC10,SOT-89-3,1,lm79l09,
IC2,TO-252-3,1,lm78l09,
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J2, J3, J35, J4, J5, J6, J7, J8, J9",AudioJack_3.5mm,18,PJ301,
JP1,IDC-Header_2x05_P2.54mm_Vertical,1,M05X2PTH,
"POT1, POT10, POT11, POT12, POT13, POT14, POT15, POT2, POT3, POT4, POT5, POT7, POT8, POT9",Potentiometer_Alps_RK09K_Single_Vertical,14,10k,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23-3,6,2n3904,
"R1, R176, R18, R23, R27, R28, R29, R30, R32, R33, R49, R67, R71, R82, R86, R88",0603,16,10k,
"R10, R15, R20, R21, R22, R31, R34, R48, R52, R53, R54, R63, R65, R68, R76",0603,15,100k,
R11,0603,1,62k,
"R12, R13, R26, R4, R41, R45, R47, R5, R51, R56, R57, R6, R66, R69, R7, R74, R8",0603,17,30k,
"R14, R16, R17, R171, R19, R24, R25, R35, R36, R37, R38, R43, R46, R77, R79, R83, R84, R87, R89, R9",0603,20,1k,
R175,0603,1,7.5k,
R179,0603,1,47k,
"R2, R3, R40, R59, R73",0603,5,15k,
"R39, R44, R55, R70, R72, R75, R80, R81, R85",0603,9,51k,
"R42, R58, R60, R78",0603,4,510,
R50,0603,1,470k,
R61,0603,1,20k,
R62,0603,1,150k,
R64,0603,1,1.5k,
"SW1, SW2, SW3",2MS3T1B3M2QES,3,submini-2T,
"U1, U5, U6",TSSOP-14_4.4x5mm_P0.65mm,3,TL074,
U10,SOT-23-5,1,LM321,
"U2, U8, U9",TSSOP-8_4.4x3mm_P0.65mm,3,TL072,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,SSI2164_Split,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,4021,
V9,PerkinElmer_VTL5C,1,VTL5C,
