Designator,Mid X,Mid Y,Rotation,Layer
C1,84.2,-102.0,270.0,top
C10,124.1,-78.2,270.0,top
C11,58.9375,-59.8,180.0,top
C12,79.3375,-59.7,180.0,top
C13,102.6375,-135.7,180.0,top
C14,102.8375,-104.8,0.0,top
C15,80.1375,-129.2,0.0,top
C16,75.8375,-124.9,180.0,top
C17,59.6,-133.8,90.0,top
C18,70.8,-98.2375,90.0,top
C19,125.4375,-60.8,180.0,top
C2,70.4,-137.8,90.0,top
C20,85.0375,-93.5,0.0,top
C21,70.1,-87.6,180.0,top
C22,118.6,-89.1625,90.0,top
C23,71.2375,-60.6,180.0,top
C24,91.7375,-59.7,180.0,top
C25,99.6,-126.2,270.0,top
C26,99.2,-92.9,270.0,top
C27,92.1,-56.1,90.0,top
C28,66.9375,-100.3,180.0,top
C29,76.1175,-77.65,0.0,top
C3,86.1375,-107.6,0.0,top
C30,59.9375,-67.8,0.0,top
C31,65.5375,-91.0,0.0,top
C32,102.6375,-138.5,0.0,top
C33,61.8375,-65.1,180.0,top
C34,116.0375,-65.3,180.0,top
C35,103.8375,-124.3,0.0,top
C36,55.9,-71.8,270.0,top
C37,54.6375,-82.3,0.0,top
C38,80.4,-63.1,270.0,top
C39,75.9375,-82.0,0.0,top
C4,72.5,-115.7,270.0,top
C5,70.3,-106.0,270.0,top
C6,62.1975,-98.15,180.0,top
C7,112.49,-60.9725,270.0,top
C8,80.8,-85.4375,270.0,top
C9,66.2375,-74.1,180.0,top
D1,91.925,-110.7,0.0,top
D10,75.7,-112.85,270.0,top
D11,124.8,-143.3,0.0,top
D12,113.7,-127.7,270.0,top
D13,124.4,-125.3,270.0,top
D14,124.5,-135.8,90.0,top
D15,76.0,-40.77,270.0,bottom
D16,91.97,-40.77,270.0,bottom
D17,108.0,-40.77,270.0,bottom
D18,109.6,-110.9,180.0,top
D19,98.1,-66.0,90.0,top
D2,85.0,-129.875,270.0,top
D20,59.69,-107.75,270.0,top
D21,76.0,-97.8,180.0,top
D22,92.1,-69.8,90.0,top
D23,74.4,-55.8,270.0,top
D24,81.4,-47.1,0.0,top
D25,65.0,-48.3,180.0,top
D26,65.1,-45.0,0.0,top
D27,70.3,-126.1,270.0,top
D28,84.0,-40.77,270.0,bottom
D3,80.2,-108.6,270.0,top
D4,69.2,-115.7,90.0,top
D5,100.0,-40.77,270.0,bottom
D6,64.925,-88.3,0.0,top
D7,112.4,-115.3,90.0,top
D8,129.8,-125.2,0.0,top
D9,62.9,-139.4,0.0,top
FB1,85.9125,-110.4,0.0,top
FB2,85.1,-134.8875,90.0,top
IC10,81.3,-133.9,180.0,top
IC2,82.6,-119.21,270.0,top
J1,75.7,-111.375,0.0,bottom
J10,119.0,-126.725,180.0,bottom
J11,119.0,-111.375,0.0,bottom
J12,64.9,-111.375,0.0,bottom
J13,75.8,-126.725,180.0,bottom
J14,54.2,-111.375,0.0,bottom
J15,75.8,-138.275,0.0,bottom
J16,65.0,-126.725,180.0,bottom
J17,54.2,-138.275,0.0,bottom
J2,119.0,-138.275,0.0,bottom
J3,108.2,-111.375,0.0,bottom
J35,54.2,-126.725,180.0,bottom
J4,129.8,-138.275,0.0,bottom
J5,108.2,-138.275,0.0,bottom
J6,65.0,-138.275,0.0,bottom
J7,108.2,-126.725,180.0,bottom
J8,129.8,-111.375,0.0,bottom
J9,129.8,-126.725,180.0,bottom
JP1,92.13,-123.12,180.0,top
POT1,74.4,-49.05,270.0,bottom
POT10,55.8,-69.05,270.0,bottom
POT11,74.6,-89.05,270.0,bottom
POT12,109.4,-69.05,270.0,bottom
POT13,74.7,-69.05,270.0,bottom
POT14,55.8,-49.05,270.0,bottom
POT15,92.0,-69.05,270.0,bottom
POT2,128.2,-49.05,270.0,bottom
POT3,128.2,-89.05,270.0,bottom
POT4,128.2,-69.05,270.0,bottom
POT5,92.0,-49.05,270.0,bottom
POT7,55.8,-89.05,270.0,bottom
POT8,109.4,-49.05,270.0,bottom
POT9,109.4,-89.05,270.0,bottom
Q1,125.45,-57.5625,270.0,top
Q2,55.8,-92.4375,270.0,top
Q3,125.8,-102.0625,90.0,top
Q4,117.07,-96.65,270.0,top
Q5,109.15,-97.27,270.0,top
Q6,100.31,-78.7425,270.0,top
R1,117.3,-55.6,270.0,top
R10,120.7875,-56.5,0.0,top
R11,125.4875,-62.7,180.0,top
R12,110.7825,-79.52,0.0,top
R13,132.1875,-81.1,180.0,top
R14,128.3,-139.9875,270.0,top
R15,101.4,-92.9,270.0,top
R16,110.8825,-81.92,0.0,top
R17,128.2,-92.4,270.0,top
R171,55.0875,-125.9,0.0,top
R175,108.1875,-139.3,0.0,top
R176,97.1,-97.4,90.0,top
R179,75.0875,-48.0,0.0,top
R18,103.5,-99.5,90.0,top
R19,131.4,-139.9875,270.0,top
R2,121.9875,-64.8,0.0,top
R20,115.3,-115.7875,90.0,top
R21,119.0,-125.2,270.0,top
R22,115.2,-136.1,90.0,top
R23,93.6875,-90.6,180.0,top
R24,112.0,-136.2125,90.0,top
R25,70.3875,-143.8,0.0,top
R26,101.0,-59.0875,270.0,top
R27,86.1,-65.5125,270.0,top
R28,54.8,-96.9,90.0,top
R29,126.9,-97.5875,270.0,top
R3,126.3,-78.2,90.0,top
R30,115.86,-101.38,90.0,top
R31,77.4875,-87.8,0.0,top
R32,97.8875,-105.4,0.0,top
R33,96.1875,-100.4,0.0,top
R34,97.8875,-107.8,0.0,top
R35,57.9875,-95.8,0.0,top
R36,124.6,-97.6,90.0,top
R37,118.17,-101.3125,270.0,top
R38,112.1,-120.2125,90.0,top
